id,text
1075088598091816960,Mueller Ready to Pounce on Trumpworld Concessions to Moscow https://t.co/DxnvKFJgsr
1074889716795928576,Yeah from gawds sake he should have gotten it last year. https://t.co/GdQKCM8FvL
1074884305938276352,⚜️⚜️⚜️SAINTS WIN⚜️⚜️
1074845990341861376,"Ok, splain just what happened when the ref said no down by contact and pushed em back to the 40?"
1074832023922110464,"Migrant children beaten, kicked and threatened with sexual abuse by Border Patrol, ACLU alleges https://t.co/Xlujyw8ocU"
1074775274141683717,My gawd how the kid can tap dance. https://t.co/Sz0SLOOzRg
1074476132689461248,Man Allegedly Kills Librarian After Getting Banned From The Library https://t.co/S7IpF7ZAdv
1074424544281223168,Setting up Tookie’s new place. — at Whealdon Estates https://t.co/zU7oDFLCMc
1074348376278396930,"Visiting Tookie, with Robin! — at Brookdale Kenner https://t.co/8fYxLLk2KY"
1074345656829992962,Maybe Trump reds to do a gofund me to get outta jail. Or to build a wall. https://t.co/5QWnzKLeuu
