id,text
1074972666673680384,"RT @ProfJaneslei: SER MULHER NO BRASIL:
(por Nina Paduani)

Mais de 300 mulheres o denunciaram por estupro e abuso sexual. Entre as vítimas…"
1074850868934205440,RT @qlfprin: posso até gostar de alguém / mas é vc que eu amo https://t.co/a5j1YWXtpN
1074845116379078661,@thamyZzzz Eu mesma
1074844452034879488,RT @spidersholl: vcs já olharam pro grupinho de amg de vcs e percebeu que vc é o mais dispensável?
1074811917888299009,"Ativar o visto por último wpp pra ver que horas o @ entrou e perceber que ele te deixou no vácuo

quem nunca?

eu agora mesmo"
1074798389248831489,"RT @mininulucas: 2010 - o ano ta acabando né, próximo ano vai ser melhor q esse eu tenho fé

2018 - acabando o ano né kkk ano q vem vai ser…"
1073860431347937280,"@riverdalegion como assim fizeram isso? meu Deus jughead é incrível, sem dúvidas o melhor casal da série coisa que ninguém entende pq não para pra analisar a série direito"
1073859986399350784,@musodosite A última boca que beijei
1073859845735022592,@craiskc @thamy_lisbon
1073505153578401792,RT @pefabiodemelo: Quando a vida te dá com uma mão mas te rouba com a outra. https://t.co/ALjXDilPY0
