id,text
1074989143950807040,Good morning friends💋💋💋💋💋💋💋💋💋💋👏👏👏👏👏👏👊👊👊😘😘😘👶It got to be a lovely day i guess💝💝💝💜💜 https://t.co/4vO4KVGYv5
1074851872601767941,"@BretBaier No matter how far you go in the wrong direction, there's always a chance to turn your life around"
1074751315220357129,Self happiness💋💋💋💋💋💋💝💝💝👏👏👏It what i want https://t.co/eHnESxERh7
1074593198616514560,My smiles always make my day👏👏👏👏👏👏💋💋💋💝💝💝💝💝💝💜💜💜💜💜✍️✍️✍️ https://t.co/hwYNZrbJyL
1074477528914558976,"Given that Trump has repeatedly lied about the Daniels and McDougal payments—and given that he lies about virtually everything else, to the point that his own former personal lawyer described him as a “f****ing liar”—why should we take his word over that of federal prosecutors?"
1074364560872751104,Touch down💋💋💋💋💋💋💋💋💋👏👏👏✍️💜💜💜On my day🙌🙌🙉🙉🙉🙉 https://t.co/5Gom6XWGYO
1074231578795085824,@THHAA1756 Thank you
1074220835588792320,@THHAA1756 But that not my picture right there that someone else you posted on
1074219202872049665,@THHAA1756 Thank you
1074204453161586688,Fun all day👏👏👏👏👏👏 https://t.co/erOWHAQbzA
