id,text
1074889336049598464,...........Now you gonna see ....
1074509089806397440,Miss Venezuela https://t.co/ZLIUJ5a1Sg
1074209730518769665,Something’s don’t got answers
1074205520817479680,I wish I could’ve made better choices sometimes but idk some things I just don’t know
1074204952661250049,"Life is so crazy, can’t question it."
1074102964372017152,It’s pretty chill out side 🌡
1074051820039925761,@TheTazTaylor No cap !!!!
1074051625768112128,"POSTING VIDEOS OF YOU DANCING BACHATA ISNT ATTRACTIVE, I JUST WANTED TO LET YOU KNOW. 😬"
1073475474142191617,RT @kanyewest: I need that love and respect that we didn’t give Michael while I’m alive
1073415818791346176,Trust me you don’t got the answer.
