id,text
1074851715046887424,RT @ImAgus51: Vaya Culo tengo chaval
1064273158243532801,#FortniteBattleRoyale #XboxShare https://t.co/IA4XKt2Okv
1056223570676928512,"RT @ImAgus51: Cuando te dicen: Puede entrar el tema 5 y el 9
Te estudias el 9 y entra el 5 https://t.co/YDNLajJPsg"
1056223307022983168,"RT @NBA: Stephen Curry has made at least five three-pointers in six consecutive games, tying George McCloud (in February/March 1996) for th…"
1051314713521471489,RT @ImAgus51: RT si la echas de menos :( https://t.co/TYmCMpo5a7
1051314622941286400,@batboy211 @Pedrito_Vm Y demostrar que na nos va a parar na na na
1051314519237124096,RT @Pedrito_Vm: Quiero no despertarme nunca jamas de este sueño
1046522850872578048,RT @francombourlot: #FortniteBattleRoyale #XboxShare https://t.co/ao26oSB2NZ
1046522487499034625,#FortniteBattleRoyale #XboxShare https://t.co/ao26oSB2NZ
1046176411160055811,RT @Rubiu5: LIMONADA 2.0 🗿
