id,text
1074651571076636673,"RT @bright_adim: *My Nose During Cold*

 Left Nostril         Vs         Right Nostril https://t.co/0EQYQJySse"
1074591565581045760,#PitoriHighlights https://t.co/6zoXMShi0m
1074583991330709505,"RT @epaphroditus14: Don't think you are Nothing. Don't think you are Everything. But think you are Something Who can achieve Anything !! 
#…"
1074583743355080704,RT @deDOGGYdude: This whole dezemba angibuyi endlini ko Idibala Eyadini ngoba abo makwelwane Banomoya🍻💃🍾 🔥😁....😋🚶 https://t.co/oEovl5mgup
1074322309048139776,"RT @kasujja: They find a way..
Always! https://t.co/nAIF8pPRZB"
1074322199190876160,"RT @KnowGoGrow: ""Stay away from negative people!""

 #quote #entrepreneurship https://t.co/E75R94f1m2"
1074322182417862657,"RT @larrykim: #SundayMorning Thoughts: 

🤖 Only focus on things you can control

💠Attitude
💠Words
💠Actions
💠Manners
💠Effort
💠Beliefs
💠Lifes…"
1074314806537216000,"RT @Blackface_Vii: 😂Hol up bih, where you going? https://t.co/wOmb2X9eaf"
1074314464206434304,"RT @bruhver: between $1,000,000 and a sharp brain which will you go for? 

student : $1,000,000
teacher: idiot, I'll choose brain

student:…"
1074179527323082752,"RT @bongz275: Okay, this completed my day. 😂🔥 https://t.co/IQHAJnRMEh"
