id,text
1067804976704049152,"RT @iTalianZamlkawy: أحمد علي يوجع .. أحمد علي يشوي .. أحمد علي يكوي

اضرب يا احمد يا علي اليااااااااااااااااااه 🔥🔥 https://t.co/rdblTaA3bn"
1067804735305076736,"RT @iTalianZamlkawy: – الووو: اتحاد الكورة معايا؟
اتحاد الكورة: ايوه يا فندم.. مين؟
– انا الاهلي.. حضرتك انا عايز الغي الدوري السنة دي؟
اتح…"
1067429392777953280,RT @Badr_NabiL: #Zamalek ❤️💪🏼💪🏼 https://t.co/j7GooEoOUr
1066362496464736256,RT @HazemMohy_IZ: هدف شيكابالا الرائع منذ قليل.. الذهب لا يصدأ ❤️ https://t.co/NFXS59Cq8Z
1066357847326375936,RT @iTalianZamlkawy: بركاتك يابن الفقرية https://t.co/WwfRm46gKf
1066276127675699206,برحتك يا بشمهندس طارق قول ٢٠ سنه https://t.co/6XJdl4IgUV
1066232437435523072,RT @EPLworld: 🎥 مُدرب مانشستر سيتي بيب غوارديولا عندما كان شاباً في إحدى الحفلات . https://t.co/57MfqEpUEu
1065757539705470977,RT @iTalianZamlkawy: إلي مشجع نادي الزمالك. يابني لو شايف نفسك قناص قولنا واحنا نوديك طلائع الجيش. https://t.co/J8Uz3PGX04
1065757332729155584,RT @iTalianZamlkawy: لا مؤاخذة يا اهلي الظاهر غفلت شوية عن التحفيل وانا بتابع الزمالك. https://t.co/WM2t0tlisp
1065169514348888064,انت مش بائس اكتر من #اهلاوي اللي مستني سحب اللقب من #الترجي و ماتش النهائي يتعاد 😂
