id,text
1074918060434354176,@AlphaFuckers Yum
842478803935006720,@gofundme
838111057981947904,RT @FoxNews: .@ericbolling: @POTUS's Done More in 45 Days Than @BarackObama Did in 8 Years https://t.co/gRcoyVXmZL https://t.co/hioBHjTsxO
838110926297526272,@FoxNews @ericbolling @POTUS @BarackObama. I agree!
831602315580813313,@FoxNews
828307142738317313,"Yes, I agree!!    https://t.co/ypaHJ3G9tN"
826638255512772609,"@realDonaldTrump

You are the best President!"
825197087562297345,@FoxNews @seanhannity @POTUS was great!
823573761786056706,@FoxBusiness Great for them!
823573589169471489,@FoxBusiness @SenWarren
