id,text
1074814541895294976,@EBraeden I'm a big fan..love love love you!
1074814320461127681,@FLOTUS you are beautiful first lady
1074814179914248198,@POTUS we love you..keep trying..stay strong!!
1074813885201481728,Trying to learn this site
1074813620607959040,@EBraeden @luvmytroops I am a huge fan...love love love you!!
1074812925423087617,@realDonaldTrump We love you!!!...keep trying!!
1074812100806172673,Eric braeden
786661018738892800,@MrsSOsbourne @chrisodonnell hope I tweet right.grrr
786660807819956224,@MrsSOsbourne @chrisodonnell Love sharon!!!
786660706460459008,RT @MrsSOsbourne: The handsome @ChrisODonnell https://t.co/aAfLaVFjie
