id,text
1075087695972585473,@omohtee12 @69entbrand super human powers
1075087553265582080,"RT @ife_luv12: Comment your name backward, let’s see if it’s still gon’ make sense.

Mine: Efi 🤔"
1075087466145689603,@ife_luv12 @69entbrand nnuiq egnarts
1075078625379135493,"If you can read this, you’ve helped me reach 10 followers. Thank you!"
1075068243365257218,head spinning cus am henny sipping
1075068121084497921,"RT @NBCNews: Ahead of sentencing, Mueller's office releases notes on Michael Flynn's FBI interview. https://t.co/XI6vf9mQ67"
1075062212132306949,"RT @farahelp: Which is your Favourite Emoji?

Me: 😊

😀😁😂🤣😃😄😅😆😉😊😋😎😍😘😗😙😚☺️🙂🤗🤔😐😑😶🙄😏😣😥😮🤐😯😪😫😴😌😛😜😝🤤😒😓😔😕🙃🤑😲☹️🙁😖😞😟😤😢😭😦😧😨😩😬😰😱😳😵😡😠😷🤒🤕🤢🤧😇🤠🤥🤓😈👿🤡👹👺💀☠️👻👽👾"
1074827536331403264,"RT @farahelp: 🔆Do you want followers❓
➊ Follow me &amp; retweet this🔸
➋ Follow all those who rt &amp; like🔸
➌ Followback everyone🔸 
🔆Turn my notifi…"
1074827061641048066,RT @vocal_NK: follow everyone who LIKES and RTs this🍷
1074826516993839106,"RT @farahelp: 🔆Do you want followers❓
➊ Follow me &amp; retweet this🔸
➋ Follow all those who rt &amp; like🔸
➌ Followback everyone🔸 
🔆Turn my notifi…"
