id,text
1059925955341438977,"RT @SamuelLJackson: THIS, TOO!!!!#ohimgonvote#wethemuthafuggynpeople @ Atlanta, Georgia https://t.co/AQoac4HvDS"
1055495269780021251,"RT @JohnBrennan: Stop blaming others. Look in the mirror. Your inflammatory rhetoric, insults, lies, &amp; encouragement of physical violence a…"
1034824831336898560,"@realDonaldTrump Like you were an “anonymous source “ when you planted stories in the NY press.  Oh sorry, “fake news “. Guess it wasn’t then. 🤬"
1027609535652003840,RT @joshtpm: This photograph of Ivanka hurling a refugee child over the border wall is chilling. But it shows how far we've fallen. https:/…
1026391704012824576,RT @EdKrassen: The Trump Presidency has shown us that approximately 35% of Americans are willing to trust the words of a habitual liar over…
1005735945549832192,"RT @rolandparis: Big tough guy once he’s back on his airplane. Can’t do it in person, and knows it, which makes him feel week. So he projec…"
1001467123523313664,"RT @marty888nyc: Approximately 22 Veterans a day commit suicide. 

Would at least  22 of my Twitter friends please copy and tweet?   (Not R…"
993606128033587201,"RT @rebeccagberg: Republicans are nearing a decision on the host city for their 2020 convention, with an announcement expected by the RNC’s…"
983110356708020224,"RT @benwikler: In the race to Bob Corker (R-TN) in the Senate, a new poll finds that Phil Bredesen (D) now has a 10-point lead over Marsha…"
978654317635866626,"RT @thedailybeast: Retired Supreme Court Justice John Paul Stevens called for the repeal of the Second Amendment, calling it a “a relic of…"
