id,text
975860681382748160,I'm raising money for Once in a lifetime Scout experience. Click to Donate:  https://t.co/lNc48rt4JN via @gofundme
970689917461385216,Do you remember when you joined Twitter? I do! #MyTwitterAnniversary https://t.co/w2cQIc0wJA
929956454852853760,My new niece Mollie Rose https://t.co/h5X21gAbHF
925559069125107712,Slide dancing on the floor is the best apparently https://t.co/ASdbPsJlGN
925559020613701633,Trick or treating https://t.co/3sTPMEDZav
925558624264556545,Before trick or treating https://t.co/bRIqgC1RuF
925558599379648512,Slide dancing on the floor is the best apparently https://t.co/ASdbPt0Wyl
924426376169578498,Just posted a photo https://t.co/rDTp6hySBL
924426234280513536,Just posted a photo https://t.co/0cvb91yred
924425964406431744,Just posted a photo https://t.co/ni3dXaM1oL
