id,text
1073196461855268864,طير https://t.co/nUxsa0Rvxs
1071707800269656070,"يعلموننا 
لاشماتة فى الموت 
نعم لا شماتة 
ولكن 
اخبروهم بأن الموت ات لا محالة 
فعلموهم بأن تكون الحياة حق للجميع"
1063335962909032448,https://t.co/xaLfQhlLql
1063155081246318593,"RT @Ahmed_M6ar: أيقظوني
عندما يمتلك الشعبُ زِمامَه
عندما ينبسِطُ العدل بلا حَدٍّ أمامه
عندما ينطقُ بالحقِ ولا يخشى المَلامَة
عندما لا يستحي…"
1054836247825408001,"@Dhahi_Khalfan كلام منطقى 
وفى اليمن 
والسودان"
994349532505956352,"RT @albaraduni: #بردونيات

إنّ بلادي الحبيبه
في مرتباها غريبه

لأنها وهي ملأى
بالخصب، غير خصيبه

لأنها وهي حبلى
بالري عطشى جديبه

جاعت ومدت…"
961512702114967552,RT @cnnarabic: رئيس الفلبين يشرف على تدمير عشرات السيارات الفارهة التي احتجزها مكتب الجمارك https://t.co/TSucct3wCc https://t.co/CQOwFCoti1
961511750645493762,هل تتذكر متى انتضممت إلى تويتر؟ نعم أتذكر! #الذكرى_السنوية_على_تويتر 2015 https://t.co/HeVc8M41P3
961511579463319554,هل تتذكر متى انتضممت إلى تويتر؟ نعم أتذكر! #الذكرى_السنوية_على_تويتر https://t.co/9LFRKzMEl4
961510413430153217,"RT @zamanarabic: للمرة الأولى.. #السعودية تفتح مجالها الجوي أمام رحلات إلى #إسرائيل
 أصدرت الهيئة العامة للطيران المدني في السعودية قرارًا…"
