id,text
1074845005162852352,@AmandaERighetti I wish you have a nice week.
1074115516912943104,"@Playboy @SRebelloReally Mr Eastwood is good looking.
It is a really nice picture.
It seems like you are talking a lot from photographs."
1074113993420075009,@USMC @camp_lejeune It is very nice.
1074113294271537152,@VP It is very nice.
1074112840712122368,@eikokugo It is very nice.
1074112482006904834,@USArmy @ArlingtonNatl I feel the connection of the soul.
1073411631147708421,"@FLOTUS @childrenshealth It is amazing. 
A wonderful Christmas."
1073411102648655878,@AmandaERighetti It is amazing.
1073171209490030592,"@FLOTUS @JBLEnews It is a nice smile. 
Merry Christmas."
1073170248730259456,"@WhiteHouse @FLOTUS It is very nice. 
Have a nice Christmas."
