id,text
1064609034282704898,"@Alyssa_Milano As a resident of the amazing state of Georgia, let me show you the way out of our fine state. Don’t let the door hit y’all on the way out...... https://t.co/QdbLoTQzD8"
1042505671739105283,RT @GPBsports: A WINNING STREAK that has been going on for YEARS... @OSGNelson talks to @dajacket1 about what goes into making the @Calhoun…
981567476579422208,I hope it's better than last month! 🙄 https://t.co/PP36t8tHHg
973015363850969089,RT @UCAupdates: Wow. Just WOW! The entire L5R Sr Restricted - D2 was unbelievable! 👏🏽 https://t.co/ubvYjOxZRi
972858304581066754,"RT @VarsityAllStar: #PracticeRoomPeek 👀We have seen top talent take the mat on Day 1 at #UCAallstar! ✨

Watch the competition live, view re…"
968256015887142913,RT @usacheer: Opening ceremonies with the other countries at the Wonju International Cheerleading Open Showcase 🇨🇦🇩🇪🇱🇺🇷🇺🇨🇭🇹🇴🇰🇷🇺🇸 https://t.…
968255643772694529,RT @usacheer: Wrapping up our South Korea trip representing the red white and blue! 🔴⚪️🔵 Thank you @CheerMusicPro for the 🇺🇸🎶 https://t.co/…
949035257583620096,Hmmmmm https://t.co/PP36t8tHHg
948040806509764608,"RT @FootballUGA: Roses are red &amp; black 🌹

#GoDawgs https://t.co/33wdJmClZQ"
948040496873648128,RT @SportsCenter: To Atlanta they go! https://t.co/WmgQou2xF5
