id,text
1074993778300239873,@britneyspears https://t.co/Du9rjENyZQ
1074992069972762625,AVATAR https://t.co/hJZbwf0Xj5
1074990749270401024,@HillaryClinton https://t.co/9JHcX3eou1
1074990728584011776,@HillaryClinton https://t.co/vq5EwcDE3w
1074828994925735938,#НоваяАватарка https://t.co/RA24Ei5o2m
1074272359866134530,Инферно https://t.co/7vG9m0BrXj
1073971755872473089,@HillaryClinton
1073917696746639360,ОРИОН https://t.co/rTH4qn7ZMB
1073917125797052416,Аватар https://t.co/FENoMaV1Bx
1073916966354804738,Сириус https://t.co/b3Nd8AJmM8
