id,text
1074845599961354240,RT @chickenfootsona: Why the FUCK are LED headlights legal? i’m glad you see can into the future with your bright ass neon blue lights but…
1074151575327817728,RT @SchragPearson: Unpopular opinion: Takis are better than Hot Cheetos and it’s really not even close.
1072690507460079616,RT @ShabbaWright52: @DJTrev252 @Santiago_kid24 What really happened https://t.co/VJp2JgiSmd
1071977417525391360,"RT @brentconner_: I WILL PASS ALL MY FINALS‼️
I WILL PASS ALL MY FINALS‼️
I WILL PASS ALL MY FINALS‼️
I WILL PASS ALL MY FINALS‼️
I WILL PA…"
1070236826231803906,"RT @oscarmags11: Going to college is worth it they said 

My two brain cells after my first semester: https://t.co/6RL0Orgkuz"
1070174112792883201,RT @lauren_harnar: rt to pass https://t.co/TKk2Nw2X7w
1070063440243257345,RT @TreyHixon4444: For real I don’t think it’s a joke anymore. Rt or you’ll straight up tear your acl too https://t.co/VoROQSDp9p
1062910457562959873,RT @jenniferchappy: why is the question coke or pepsi when dr pepper is the answer
1062840668350017536,RT @FaZe_Kitty: the NEW outlaw is unreal!! the damage is nuts https://t.co/gHl8zbTyCx
1062627783665426432,"RT @all_in_yo_girl: "" don't fucking look at me"" I'm hollering 😂😂😂 https://t.co/ZY3j4PEBSe"
