id,text
1074845978233135104,@NBCTheVoice @blakeshelton I love Kirk and I love country music... but I think Kirk should do a R&amp;B record. Reminds me of a current Boys to Men ❤
1072671038595624964,#VoiceSaveMakenzie
1070133165560344577,#voicesaveDeandre
1065060795703328768,#VoiceSaveLynnea
928429986989649920,"#bettermancma
 #CMAawards"
928418909123903488,#garthcma fav country legend #CMAawards
413158139584716800,RT @adamlevine: Everybody give a RT for @Tessanne for winning @NBCTheVoice! #TeamAdam #TessanneIsTheVoice
412779181093576704,@NBCTheVoice @willchamplin @bryanadams performance brought tears to my eyes watching him perform for his wife n baby
405530206523240448,#VoiceSave matthew
400457064725897216,Kat #VoiceSave
