id,text
987434015757127681,RT @Hudl: Heading into the weekend like @Mesa_Redhawks Bench Mob. 🤣 https://t.co/qXZEmM3Gyh
895152241279025153,RT @DevLadewig: @Dbacks WIN 6-3 over the Dodgers! Nice game for @JakeLamb18 and @ArchieBradley7 #OurSeason #BeatLA #GRANDSLAMB #BringInTheB…
825098432708632576,RT @timothysykes: 8 Ways To Become A Better Trader https://t.co/lxatxVmQXv https://t.co/Jwa6oejJfw
824270092670119937,"RT @timothysykes: Retweet/fav this for a live video lesson on how I made $2,000+ already today on $GLBS and my https://t.co/EcfUM63rtt stud…"
823604923455504384,"RT @timothysykes: @BiIlionaires if you're going to post my car, you should probably credit me LOL"
821373126340530178,RT @timothysykes: https://t.co/QSVKCCdoch +$13k in 30 minutes of work today so I'm not gonna be greedy
820902586374963200,"RT @timothysykes: The stock market is closed tomorrow, but retweet/favorite this ONLY if you plan to study anyway and get ahead of your com…"
819594185934131200,RT @timothysykes: Retweet/favorite this if you want a video on $ETRM $SGNL $MYOS $GNVC $TBIO $APOP $URRE $BIOC &amp; how https://t.co/fljCJMRjt…
819035432058925056,RT @timothysykes: https://t.co/mxZEhWO0a4 - Posted a New Video Lesson: #4413-4424: My 1st Live Trading Video Of 2017
818884090879315968,"RT @timothysykes: SWEET @stockstotrade chart of $ETRM from when I alerted it in the 2.80s to $28+ now, 10x in 5 days, https://t.co/fljCJMRj…"
