id,text
1073964871929085953,@Patterdude @SouthwestAir You need to change your title from Vice Mayor to Mayor
1073799547816632321,@DarrenSabedra 44-8 after 3
1073799195142676480,@FrancesWangTV @C_Mendonsa @DaleSchornack Haven’t watch @ABC10 since @C_Mendonsa left. Best of luck to you in Miami.
1073644921754513410,@Patterdude Time to get the pictures updated at the PD...STAT!
1073644235692208128,"@Gregg_Jefferies I love no batting gloves, elbow pad, shin pad, foot pad and every other pad these prima donna players wear today."
1072702383556182016,@Franky_P_ @KNBR @geivo I’d rather listen to Geivo. He’s much funnier.
1071802987436113920,My team is taking home the win! #Irish☘️ #ATTTHANKS #Sweepstakes @ATTTHANKS No purchase necessary. See https://t.co/X2S0sm8L4S for official rules.
1071499875517313025,RT @waterstats: @RSVL_Traffic any plans to work on the traffic flow at 5 Star and Stanford Ranch? Seems like an easy fix.
1071499446066630656,I cast my Heisman ballot for #TuaTagovailoa! Click the player you think deserves the Heisman House vote. (📍@NissanUSA)
1071498973725130752,My team is taking home the win! #Irish☘️ #ATTTHANKS #Sweepstakes @ATTTHANKS No purchase necessary. See https://t.co/X2S0sm8L4S for official rules.
