id,text
1075093116074504192,@K1ngStr0ngStyl3 @DieLaan @BungieHelp Hahah. 😫
1075044582340075521,@eddiebravo I ain't buyin it!!
1074821255684124674,@FirepowerRecs @jphelpz Let's goooo 🔥
480748797954244608,El Camino by The Black Keyss https://t.co/Kp0853FeMX
467827423837696000,@CookieMonstaDUB @FuntCaseUK  like a gummy worm. Hahaha wtf
467825214781665281,I’m loving Spotify’s new look. #FreshSpotify http://t.co/AkJpqNkkHY
466146466541867008,RT @doctorpcircus: This guy waited 5 years to finish this tweet http://t.co/wlAJcxkQqI
465980701658345473,"RT @FuntCaseUK: Ever Seen me live? If not, here's more snippets of what to expect 😈 https://t.co/5lXZ4rKvRw"
465978782336442368,RT @DepressedDarth: When you realize tomorrow is Monday http://t.co/RDApjKB4lU
465097370397843456,RT @CookieMonstaDUB: MARMITE. I. LOVE. YOU. http://t.co/0SrgVHspYH
